,Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
243917,Alex Bowen,M,United States,USA,2024,Paris,Water Polo,Men,Bronze
243918,Luca Cupido,M,United States,USA,2024,Paris,Water Polo,Men,Bronze
243919,Hannes Daube,M,United States,USA,2024,Paris,Water Polo,Men,Bronze
243920,William Dodd,M,United States,USA,2024,Paris,Water Polo,Men,Bronze
243921,Ryder Dodd,M,United States,USA,2024,Paris,Water Polo,Men,Bronze
243922,Ben Hallock,M,United States,USA,2024,Paris,Water Polo,Men,Bronze
243923,Drew Holland,M,United States,USA,2024,Paris,Water Polo,Men,Bronze
243924,Johnny Hooper,M,United States,USA,2024,Paris,Water Polo,Men,Bronze
243925,Max Irving,M,United States,USA,2024,Paris,Water Polo,Men,Bronze
243926,Alex Obert,M,United States,USA,2024,Paris,Water Polo,Men,Bronze
243927,Marko Vavic,M,United States,USA,2024,Paris,Water Polo,Men,Bronze
243928,Adrian Weinberg,M,United States,USA,2024,Paris,Water Polo,Men,Bronze
243929,Dylan Woodhead,M,United States,USA,2024,Paris,Water Polo,Men,Bronze
243930,Mary Ausmus,F,United States,USA,2024,Paris,Water Polo,Women,No medal
243931,Rachel Fattal,F,United States,USA,2024,Paris,Water Polo,Women,No medal
243932,Jenna Flynn,F,United States,USA,2024,Paris,Water Polo,Women,No medal
243933,Kaleigh Gilchrist,F,United States,USA,2024,Paris,Water Polo,Women,No medal
243934,Ashleigh Johnson,F,United States,USA,2024,Paris,Water Polo,Women,No medal
243935,Amanda Longan,F,United States,USA,2024,Paris,Water Polo,Women,No medal
243936,Maddie Musselman,F,United States,USA,2024,Paris,Water Polo,Women,No medal
243937,Ryann Neushul,F,United States,USA,2024,Paris,Water Polo,Women,No medal
243938,Tara Prentice,F,United States,USA,2024,Paris,Water Polo,Women,No medal
243939,Jordan Raney,F,United States,USA,2024,Paris,Water Polo,Women,No medal
243940,Jewel Roemer,F,United States,USA,2024,Paris,Water Polo,Women,No medal
243941,Maggie Steffens,F,United States,USA,2024,Paris,Water Polo,Women,No medal
243942,Jovana Sekulic,F,United States,USA,2024,Paris,Water Polo,Women,No medal
244865,Jourdan Delacruz,F,United States,USA,2024,Paris,Weightlifting,Women's 49kg,No medal
244866,Wes Kitts,M,United States,USA,2024,Paris,Weightlifting,Men's 102kg,No medal
244867,Hampton Morris,M,United States,USA,2024,Paris,Weightlifting,Men's 61kg,Bronze
244868,Olivia Reeves,F,United States,USA,2024,Paris,Weightlifting,Women's 71kg,Gold
244869,Mary Theisen,F,United States,USA,2024,Paris,Weightlifting,Women's +81kg,No medal
244885,Lauren Carlini,F,United States,USA,2024,Paris,Volleyball,Women,Silver
244886,Andrea Drews,F,United States,USA,2024,Paris,Volleyball,Women,Silver
244887,Micha Hancock,F,United States,USA,2024,Paris,Volleyball,Women,Silver
244888,Jordan Larson,F,United States,USA,2024,Paris,Volleyball,Women,Silver
244889,Chiaka Ogbogu,F,United States,USA,2024,Paris,Volleyball,Women,Silver
244890,Kathryn Plummer,F,United States,USA,2024,Paris,Volleyball,Women,Silver
244891,Jordyn Poulter,F,United States,USA,2024,Paris,Volleyball,Women,Silver
244892,Dana Rettke,F,United States,USA,2024,Paris,Volleyball,Women,Silver
244893,Kelsey Robinson,F,United States,USA,2024,Paris,Volleyball,Women,Silver
244894,Avery Skinner,F,United States,USA,2024,Paris,Volleyball,Women,Silver
244895,Jordan Thompson,F,United States,USA,2024,Paris,Volleyball,Women,Silver
244896,Haleigh Washington,F,United States,USA,2024,Paris,Volleyball,Women,Silver
244897,Justine Wong-orantes,F,United States,USA,2024,Paris,Volleyball,Women,Silver
244910,Micah Ma'a,M,United States,USA,2024,Paris,Volleyball,Men,Bronze
244911,Matthew Anderson,M,United States,USA,2024,Paris,Volleyball,Men,Bronze
244912,Taylor Averill,M,United States,USA,2024,Paris,Volleyball,Men,Bronze
244913,Micah Christenson,M,United States,USA,2024,Paris,Volleyball,Men,Bronze
244914,Torey Defalco,M,United States,USA,2024,Paris,Volleyball,Men,Bronze
244915,Kyle Ensing,M,United States,USA,2024,Paris,Volleyball,Men,Bronze
244916,Maxwell Holt,M,United States,USA,2024,Paris,Volleyball,Men,Bronze
244917,Thomas Jaeschke,M,United States,USA,2024,Paris,Volleyball,Men,Bronze
244918,Jeffrey Jendryk,M,United States,USA,2024,Paris,Volleyball,Men,Bronze
244919,Garrett Muagututia,M,United States,USA,2024,Paris,Volleyball,Men,Bronze
244920,Aaron Russell,M,United States,USA,2024,Paris,Volleyball,Men,Bronze
244921,Erik Shoji,M,United States,USA,2024,Paris,Volleyball,Men,Bronze
244922,David Smith,M,United States,USA,2024,Paris,Volleyball,Men,Bronze
244925,Andrew Benesh,M,United States,USA,2024,Paris,Beach Volleyball,Men,No medal
244926,Chase Budinger,M,United States,USA,2024,Paris,Beach Volleyball,Men,No medal
244927,Kelly Cheng,F,United States,USA,2024,Paris,Beach Volleyball,Women,No medal
244928,Miles Evans,M,United States,USA,2024,Paris,Beach Volleyball,Men,No medal
244929,Sara Hughes,F,United States,USA,2024,Paris,Beach Volleyball,Women,No medal
244930,Taryn Kloth,F,United States,USA,2024,Paris,Beach Volleyball,Women,No medal
244931,Kristen Nuss,F,United States,USA,2024,Paris,Beach Volleyball,Women,No medal
244932,Miles Partain,M,United States,USA,2024,Paris,Beach Volleyball,Men,No medal
246480,Taylor Knibb,F,United States,USA,2024,Paris,"Cycling Road, Triathlon",Women's Individual Time Trial,No medal
246481,Taylor Knibb,F,United States,USA,2024,Paris,"Cycling Road, Triathlon",Women's Individual,No medal
246482,Kirsten Kasper,F,United States,USA,2024,Paris,Triathlon,Women's Individual,No medal
246483,Morgan Pearson,M,United States,USA,2024,Paris,Triathlon,Men's Individual,No medal
246484,Seth Rider,M,United States,USA,2024,Paris,Triathlon,Men's Individual,No medal
246485,Taylor Spivey,F,United States,USA,2024,Paris,Triathlon,Women's Individual,No medal
246486,Faith Dillon,F,United States,USA,2024,Paris,Taekwondo,Women -57kg,No medal
246487,Jonathan Healy,M,United States,USA,2024,Paris,Taekwondo,Men +80kg,No medal
246488,Cj Nickolas,M,United States,USA,2024,Paris,Taekwondo,Men -80kg,No medal
246489,Kristina Teachout,F,United States,USA,2024,Paris,Taekwondo,Women -67kg,Bronze
246490,Danielle Collins,F,United States,USA,2024,Paris,Tennis,Women's Doubles,No medal
246491,Danielle Collins,F,United States,USA,2024,Paris,Tennis,Women's Singles,No medal
246492,Emma Navarro,F,United States,USA,2024,Paris,Tennis,Women's Singles,No medal
246493,Christopher Eubanks,M,United States,USA,2024,Paris,Tennis,Men's Singles,No medal
246494,Taylor Fritz,M,United States,USA,2024,Paris,Tennis,Men's Doubles,Bronze
246495,Taylor Fritz,M,United States,USA,2024,Paris,Tennis,Men's Singles,No medal
246496,Taylor Fritz,M,United States,USA,2024,Paris,Tennis,Mixed Doubles,No medal
246497,Coco Gauff,F,United States,USA,2024,Paris,Tennis,Women's Doubles,No medal
246498,Coco Gauff,F,United States,USA,2024,Paris,Tennis,Women's Singles,No medal
246499,Coco Gauff,F,United States,USA,2024,Paris,Tennis,Mixed Doubles,No medal
246500,Marcos Giron,M,United States,USA,2024,Paris,Tennis,Men's Singles,No medal
246501,Austin Krajicek,M,United States,USA,2024,Paris,Tennis,Men's Doubles,Silver
246502,Desirae Krawczyk,F,United States,USA,2024,Paris,Tennis,Women's Doubles,No medal
246503,Tommy Paul,M,United States,USA,2024,Paris,Tennis,Men's Doubles,Bronze
246504,Tommy Paul,M,United States,USA,2024,Paris,Tennis,Men's Singles,No medal
246505,Jessica Pegula,F,United States,USA,2024,Paris,Tennis,Women's Doubles,No medal
246506,Jessica Pegula,F,United States,USA,2024,Paris,Tennis,Women's Singles,No medal
246507,Rajeev Ram,M,United States,USA,2024,Paris,Tennis,Men's Doubles,Silver
246508,Lily Zhang,F,United States,USA,2024,Paris,Table Tennis,Women's Singles,No medal
246509,Lily Zhang,F,United States,USA,2024,Paris,Table Tennis,Women's Team,No medal
246510,Kanak Jha,M,United States,USA,2024,Paris,Table Tennis,Men's Singles,No medal
246511,Rachel Sung,F,United States,USA,2024,Paris,Table Tennis,Women's Team,No medal
246512,Amy Wang,F,United States,USA,2024,Paris,Table Tennis,Women's Singles,No medal
246513,Amy Wang,F,United States,USA,2024,Paris,Table Tennis,Women's Team,No medal
246966,Abbey Weitzeil,F,United States,USA,2024,Paris,Swimming,Women's 4 x 100m Freestyle Relay,Silver
246967,Abbey Weitzeil,F,United States,USA,2024,Paris,Swimming,Relay Only Athlete,No medal
246968,Abbey Weitzeil,F,United States,USA,2024,Paris,Swimming,Mixed 4 x 100m Medley Relay,Gold
246969,Jack Alexy,M,United States,USA,2024,Paris,Swimming,Men's 100m Freestyle,No medal
246970,Jack Alexy,M,United States,USA,2024,Paris,Swimming,Men's 4 x 100m Freestyle Relay,Gold
246971,Jack Alexy,M,United States,USA,2024,Paris,Swimming,Men's 4 x 100m Medley Relay,Silver
246972,Hunter Armstrong,M,United States,USA,2024,Paris,Swimming,Men's 100m Backstroke,No medal
246973,Hunter Armstrong,M,United States,USA,2024,Paris,Swimming,Men's 4 x 100m Freestyle Relay,Gold
246974,Hunter Armstrong,M,United States,USA,2024,Paris,Swimming,Men's 4 x 100m Medley Relay,Silver
246975,Phoebe Bacon,F,United States,USA,2024,Paris,Swimming,Women's 200m Backstroke,No medal
246976,Katharine Berkoff,F,United States,USA,2024,Paris,Swimming,Women's 100m Backstroke,Bronze
246977,Katharine Berkoff,F,United States,USA,2024,Paris,Swimming,Women's 4 x 100m Medley Relay,Gold
246978,Erika Connolly,F,United States,USA,2024,Paris,Swimming,Women's 4 x 100m Freestyle Relay,Silver
246979,Erika Connolly,F,United States,USA,2024,Paris,Swimming,Relay Only Athlete,No medal
246980,Shaine Casas,M,United States,USA,2024,Paris,Swimming,Men's 200m Individual Medley,No medal
246981,Brooks Curry,M,United States,USA,2024,Paris,Swimming,Men's 4 x 200m Freestyle Relay,Silver
246982,Brooks Curry,M,United States,USA,2024,Paris,Swimming,Relay Only Athlete,No medal
246983,Mariah Denigan,F,United States,USA,2024,Paris,Marathon Swimming,Women's 10km,No medal
246984,Kate Douglass,F,United States,USA,2024,Paris,Swimming,Women's 200m Breaststroke,Gold
246985,Kate Douglass,F,United States,USA,2024,Paris,Swimming,Women's 200m Individual Medley,Silver
246986,Kate Douglass,F,United States,USA,2024,Paris,Swimming,Women's 4 x 100m Freestyle Relay,Silver
246987,Kate Douglass,F,United States,USA,2024,Paris,Swimming,Women's 4 x 100m Medley Relay,Gold
246988,Caeleb Dressel,M,United States,USA,2024,Paris,Swimming,Men's 100m Butterfly,No medal
246989,Caeleb Dressel,M,United States,USA,2024,Paris,Swimming,Men's 4 x 100m Freestyle Relay,Gold
246990,Caeleb Dressel,M,United States,USA,2024,Paris,Swimming,Men's 4 x 100m Medley Relay,Silver
246991,Caeleb Dressel,M,United States,USA,2024,Paris,Swimming,Men's 50m Freestyle,No medal
246992,Caeleb Dressel,M,United States,USA,2024,Paris,Swimming,Mixed 4 x 100m Medley Relay,Gold
246993,Matt Fallon,M,United States,USA,2024,Paris,Swimming,Men's 200m Breaststroke,No medal
246994,Nic Fink,M,United States,USA,2024,Paris,Swimming,Men's 100m Breaststroke,Silver
246995,Nic Fink,M,United States,USA,2024,Paris,Swimming,Men's 4 x 100m Medley Relay,Silver
246996,Nic Fink,M,United States,USA,2024,Paris,Swimming,Mixed 4 x 100m Medley Relay,Gold
246997,Bobby Finke,M,United States,USA,2024,Paris,Swimming,Men's 1500m Freestyle,Gold
246998,Bobby Finke,M,United States,USA,2024,Paris,Swimming,Men's 800m Freestyle,Silver
246999,Carson Foster,M,United States,USA,2024,Paris,Swimming,Men's 200m Individual Medley,No medal
247000,Carson Foster,M,United States,USA,2024,Paris,Swimming,Men's 400m Individual Medley,Bronze
247001,Carson Foster,M,United States,USA,2024,Paris,Swimming,Men's 4 x 200m Freestyle Relay,Silver
247002,Erin Gemmell,F,United States,USA,2024,Paris,Swimming,Women's 200m Freestyle,No medal
247003,Erin Gemmell,F,United States,USA,2024,Paris,Swimming,Women's 4 x 200m Freestyle Relay,Silver
247004,Katie Grimes,F,United States,USA,2024,Paris,"Marathon Swimming, Swimming",Women's 10km,No medal
247005,Katie Grimes,F,United States,USA,2024,Paris,"Marathon Swimming, Swimming",Women's 1500m Freestyle,No medal
247006,Katie Grimes,F,United States,USA,2024,Paris,"Marathon Swimming, Swimming",Women's 400m Individual Medley,No medal
247007,Chris Guiliano,M,United States,USA,2024,Paris,Swimming,Men's 100m Freestyle,No medal
247008,Chris Guiliano,M,United States,USA,2024,Paris,Swimming,Men's 200m Freestyle,No medal
247009,Chris Guiliano,M,United States,USA,2024,Paris,Swimming,Men's 4 x 100m Freestyle Relay,Gold
247010,Chris Guiliano,M,United States,USA,2024,Paris,Swimming,Men's 4 x 200m Freestyle Relay,Silver
247011,Chris Guiliano,M,United States,USA,2024,Paris,Swimming,Men's 50m Freestyle,No medal
247012,Thomas Heilman,M,United States,USA,2024,Paris,Swimming,Men's 100m Butterfly,No medal
247013,Thomas Heilman,M,United States,USA,2024,Paris,Swimming,Men's 200m Butterfly,No medal
247014,Thomas Heilman,M,United States,USA,2024,Paris,Swimming,Men's 4 x 100m Medley Relay,Silver
247015,Ryan Held,M,United States,USA,2024,Paris,Swimming,Men's 4 x 100m Freestyle Relay,Gold
247016,Ryan Held,M,United States,USA,2024,Paris,Swimming,Relay Only Athlete,No medal
247017,Luke Hobson,M,United States,USA,2024,Paris,Swimming,Men's 200m Freestyle,Bronze
247018,Luke Hobson,M,United States,USA,2024,Paris,Swimming,Men's 4 x 200m Freestyle Relay,Silver
247019,Torri Huske,F,United States,USA,2024,Paris,Swimming,Women's 100m Butterfly,Gold
247020,Torri Huske,F,United States,USA,2024,Paris,Swimming,Women's 100m Freestyle,Silver
247021,Torri Huske,F,United States,USA,2024,Paris,Swimming,Women's 4 x 100m Freestyle Relay,Silver
247022,Torri Huske,F,United States,USA,2024,Paris,Swimming,Women's 4 x 100m Medley Relay,Gold
247023,Torri Huske,F,United States,USA,2024,Paris,Swimming,Mixed 4 x 100m Medley Relay,Gold
247024,David Johnston,M,United States,USA,2024,Paris,Swimming,Men's 1500m Freestyle,No medal
247025,Keaton Jones,M,United States,USA,2024,Paris,Swimming,Men's 200m Backstroke,No medal
247026,Chase Kalisz,M,United States,USA,2024,Paris,Swimming,Men's 400m Individual Medley,No medal
247027,Drew Kibler,M,United States,USA,2024,Paris,Swimming,Men's 4 x 200m Freestyle Relay,Silver
247028,Drew Kibler,M,United States,USA,2024,Paris,Swimming,Relay Only Athlete,No medal
247029,Lilly King,F,United States,USA,2024,Paris,Swimming,Women's 100m Breaststroke,No medal
247030,Lilly King,F,United States,USA,2024,Paris,Swimming,Women's 200m Breaststroke,No medal
247031,Lilly King,F,United States,USA,2024,Paris,Swimming,Women's 4 x 100m Medley Relay,Gold
247032,Matt King,M,United States,USA,2024,Paris,Swimming,Men's 4 x 100m Freestyle Relay,Gold
247033,Matt King,M,United States,USA,2024,Paris,Swimming,Relay Only Athlete,No medal
247034,Katie Ledecky,F,United States,USA,2024,Paris,Swimming,Women's 1500m Freestyle,Gold
247035,Katie Ledecky,F,United States,USA,2024,Paris,Swimming,Women's 400m Freestyle,Bronze
247036,Katie Ledecky,F,United States,USA,2024,Paris,Swimming,Women's 4 x 200m Freestyle Relay,Silver
247037,Katie Ledecky,F,United States,USA,2024,Paris,Swimming,Women's 800m Freestyle,Gold
247038,Paige Madden,F,United States,USA,2024,Paris,Swimming,Women's 400m Freestyle,No medal
247039,Paige Madden,F,United States,USA,2024,Paris,Swimming,Women's 4 x 200m Freestyle Relay,Silver
247040,Paige Madden,F,United States,USA,2024,Paris,Swimming,Women's 800m Freestyle,Bronze
247041,Simone Manuel,F,United States,USA,2024,Paris,Swimming,Women's 4 x 100m Freestyle Relay,Silver
247042,Simone Manuel,F,United States,USA,2024,Paris,Swimming,Women's 4 x 200m Freestyle Relay,Silver
247043,Simone Manuel,F,United States,USA,2024,Paris,Swimming,Women's 50m Freestyle,No medal
247044,Josh Matheny,M,United States,USA,2024,Paris,Swimming,Men's 200m Breaststroke,No medal
247045,Ryan Murphy,M,United States,USA,2024,Paris,Swimming,Men's 100m Backstroke,Bronze
247046,Ryan Murphy,M,United States,USA,2024,Paris,Swimming,Men's 200m Backstroke,No medal
247047,Ryan Murphy,M,United States,USA,2024,Paris,Swimming,Men's 4 x 100m Medley Relay,Silver
247048,Ryan Murphy,M,United States,USA,2024,Paris,Swimming,Mixed 4 x 100m Medley Relay,Gold
247049,Anna Peplowski,F,United States,USA,2024,Paris,Swimming,Women's 4 x 200m Freestyle Relay,Silver
247050,Anna Peplowski,F,United States,USA,2024,Paris,Swimming,Relay Only Athlete,No medal
247051,Blake Pieroni,M,United States,USA,2024,Paris,Swimming,Men's 4 x 200m Freestyle Relay,Silver
247052,Blake Pieroni,M,United States,USA,2024,Paris,Swimming,Relay Only Athlete,No medal
247053,Ivan Puskovitch,M,United States,USA,2024,Paris,Marathon Swimming,Men's 10km,No medal
247054,Aaron Shackell,M,United States,USA,2024,Paris,Swimming,Men's 400m Freestyle,No medal
247055,Alex Shackell,F,United States,USA,2024,Paris,Swimming,Women's 200m Butterfly,No medal
247056,Alex Shackell,F,United States,USA,2024,Paris,Swimming,Women's 4 x 100m Medley Relay,Gold
247057,Alex Shackell,F,United States,USA,2024,Paris,Swimming,Women's 4 x 200m Freestyle Relay,Silver
247058,Kieran Smith,M,United States,USA,2024,Paris,Swimming,Men's 400m Freestyle,No medal
247059,Kieran Smith,M,United States,USA,2024,Paris,Swimming,Men's 4 x 200m Freestyle Relay,Silver
247060,Regan Smith,F,United States,USA,2024,Paris,Swimming,Women's 100m Backstroke,Silver
247061,Regan Smith,F,United States,USA,2024,Paris,Swimming,Women's 200m Backstroke,Silver
247062,Regan Smith,F,United States,USA,2024,Paris,Swimming,Women's 200m Butterfly,Silver
247063,Regan Smith,F,United States,USA,2024,Paris,Swimming,Women's 4 x 100m Medley Relay,Gold
247064,Regan Smith,F,United States,USA,2024,Paris,Swimming,Mixed 4 x 100m Medley Relay,Gold
247065,Charlie Swanson,M,United States,USA,2024,Paris,Swimming,Men's 100m Breaststroke,No medal
247066,Charlie Swanson,M,United States,USA,2024,Paris,Swimming,Men's 4 x 100m Medley Relay,Silver
247067,Charlie Swanson,M,United States,USA,2024,Paris,Swimming,Mixed 4 x 100m Medley Relay,Gold
247068,Luca Urlando,M,United States,USA,2024,Paris,Swimming,Men's 200m Butterfly,No medal
247069,Alex Walsh,F,United States,USA,2024,Paris,Swimming,Women's 200m Individual Medley,No medal
247070,Gretchen Walsh,F,United States,USA,2024,Paris,Swimming,Women's 100m Butterfly,Silver
247071,Gretchen Walsh,F,United States,USA,2024,Paris,Swimming,Women's 100m Freestyle,No medal
247072,Gretchen Walsh,F,United States,USA,2024,Paris,Swimming,Women's 4 x 100m Freestyle Relay,Silver
247073,Gretchen Walsh,F,United States,USA,2024,Paris,Swimming,Women's 4 x 100m Medley Relay,Gold
247074,Gretchen Walsh,F,United States,USA,2024,Paris,Swimming,Women's 50m Freestyle,No medal
247075,Gretchen Walsh,F,United States,USA,2024,Paris,Swimming,Mixed 4 x 100m Medley Relay,Gold
247076,Emma Weber,F,United States,USA,2024,Paris,Swimming,Women's 100m Breaststroke,No medal
247077,Emma Weber,F,United States,USA,2024,Paris,Swimming,Women's 4 x 100m Medley Relay,Gold
247078,Claire Weinstein,F,United States,USA,2024,Paris,Swimming,Women's 200m Freestyle,No medal
247079,Claire Weinstein,F,United States,USA,2024,Paris,Swimming,Women's 4 x 200m Freestyle Relay,Silver
247080,Emma Weyant,F,United States,USA,2024,Paris,Swimming,Women's 400m Individual Medley,Bronze
247081,Luke Whitlock,M,United States,USA,2024,Paris,Swimming,Men's 800m Freestyle,No medal
247848,Anita Alvarez,F,United States,USA,2024,Paris,Artistic Swimming,Team,Silver
247849,Jaime Czarkowski,F,United States,USA,2024,Paris,Artistic Swimming,Team,Silver
247850,Jaime Czarkowski,F,United States,USA,2024,Paris,Artistic Swimming,Duet,No medal
247851,Megumi Field,F,United States,USA,2024,Paris,Artistic Swimming,Team,Silver
247852,Megumi Field,F,United States,USA,2024,Paris,Artistic Swimming,Duet,No medal
247853,Keana Hunter,F,United States,USA,2024,Paris,Artistic Swimming,Team,Silver
247854,Audrey Kwon,F,United States,USA,2024,Paris,Artistic Swimming,Team,Silver
247855,Calista Liu,F,United States,USA,2024,Paris,Artistic Swimming,Team,Silver
247856,Jacklyn Luu,F,United States,USA,2024,Paris,Artistic Swimming,Team,Silver
247857,Daniella Ramirez,F,United States,USA,2024,Paris,Artistic Swimming,Team,Silver
247858,Ruby Remati,F,United States,USA,2024,Paris,Artistic Swimming,Team,Silver
247860,Griffin Colapinto,M,United States,USA,2024,Paris,Surfing,Men,No medal
247861,John Florence,M,United States,USA,2024,Paris,Surfing,Men,No medal
247862,Caroline Marks,F,United States,USA,2024,Paris,Surfing,Women,Gold
247863,Caitlin Simmers,F,United States,USA,2024,Paris,Surfing,Women,No medal
247864,Carissa Moore,F,United States,USA,2024,Paris,Surfing,Women,No medal
247881,Korbin Albert,F,United States,USA,2024,Paris,Football,Women,Gold
247882,Samantha Coffey,F,United States,USA,2024,Paris,Football,Women,Gold
247883,Tierna Davidson,F,United States,USA,2024,Paris,Football,Women,Gold
247884,Emily Fox,F,United States,USA,2024,Paris,Football,Women,Gold
247885,Naomi Girma,F,United States,USA,2024,Paris,Football,Women,Gold
247886,Lindsey Horan,F,United States,USA,2024,Paris,Football,Women,Gold
247887,Casey Krueger,F,United States,USA,2024,Paris,Football,Women,Gold
247888,Rose Lavelle,F,United States,USA,2024,Paris,Football,Women,Gold
247889,Emily Sams,F,United States,USA,2024,Paris,Football,Women,Gold
247890,Casey Murphy,F,United States,USA,2024,Paris,Football,Women,Gold
247891,Alyssa Naeher,F,United States,USA,2024,Paris,Football,Women,Gold
247892,Jenna Nighswonger,F,United States,USA,2024,Paris,Football,Women,Gold
247893,Trinity Rodman,F,United States,USA,2024,Paris,Football,Women,Gold
247894,Jaedyn Shaw,F,United States,USA,2024,Paris,Football,Women,Gold
247895,Sophia Smith,F,United States,USA,2024,Paris,Football,Women,Gold
247896,Emily Sonnett,F,United States,USA,2024,Paris,Football,Women,Gold
247897,Crystal Dunn,F,United States,USA,2024,Paris,Football,Women,Gold
247898,Mallory Swanson,F,United States,USA,2024,Paris,Football,Women,Gold
247899,Lynn Williams,F,United States,USA,2024,Paris,Football,Women,Gold
247909,Josh Atencio,M,United States,USA,2024,Paris,Football,Men,No medal
247910,McGLYNN Jack,M,United States,USA,2024,Paris,Football,Men,No medal
247911,Patrick Schulte,M,United States,USA,2024,Paris,Football,Men,No medal
247912,Paxten Aaronson,M,United States,USA,2024,Paris,Football,Men,No medal
247913,Taylor Booth,M,United States,USA,2024,Paris,Football,Men,No medal
247914,Gianluca Busio,M,United States,USA,2024,Paris,Football,Men,No medal
247915,Benjamin Cremaschi,M,United States,USA,2024,Paris,Football,Men,No medal
247916,Maximilian Dietz,M,United States,USA,2024,Paris,Football,Men,No medal
247917,Nathan Harriel,M,United States,USA,2024,Paris,Football,Men,No medal
247918,McGUIRE Duncan,M,United States,USA,2024,Paris,Football,Men,No medal
247919,Djordje Mihailovic,M,United States,USA,2024,Paris,Football,Men,No medal
247920,Kevin Paredes,M,United States,USA,2024,Paris,Football,Men,No medal
247921,Miles Robinson,M,United States,USA,2024,Paris,Football,Men,No medal
247922,Gabriel Slonina,M,United States,USA,2024,Paris,Football,Men,No medal
247923,Tanner Tessmann,M,United States,USA,2024,Paris,Football,Men,No medal
247924,John Tolkin,M,United States,USA,2024,Paris,Football,Men,No medal
247925,Caleb Wiley,M,United States,USA,2024,Paris,Football,Men,No medal
247926,Griffin Yow,M,United States,USA,2024,Paris,Football,Men,No medal
247927,Walker Zimmerman,M,United States,USA,2024,Paris,Football,Men,No medal
247951,Chris Joslin,M,United States,USA,2024,Paris,Skateboarding,Men's Street,No medal
247952,Gavin Bottger,M,United States,USA,2024,Paris,Skateboarding,Men's Park,No medal
247953,Tate Carew,M,United States,USA,2024,Paris,Skateboarding,Men's Park,No medal
247954,Mariah Duran,F,United States,USA,2024,Paris,Skateboarding,Women's Street,No medal
247955,Jagger Eaton,M,United States,USA,2024,Paris,Skateboarding,Men's Street,Silver
247956,Paige Heyn,F,United States,USA,2024,Paris,Skateboarding,Women's Street,No medal
247957,Nyjah Huston,M,United States,USA,2024,Paris,Skateboarding,Men's Street,Bronze
247958,Ruby Lilley,F,United States,USA,2024,Paris,Skateboarding,Women's Park,No medal
247959,Poe Pinson,F,United States,USA,2024,Paris,Skateboarding,Women's Street,No medal
247960,Tom Schaar,M,United States,USA,2024,Paris,Skateboarding,Men's Park,Silver
247961,Minna Stess,F,United States,USA,2024,Paris,Skateboarding,Women's Park,No medal
247962,Bryce Wettstein,F,United States,USA,2024,Paris,Skateboarding,Women's Park,No medal
247964,Morgan Abeln,F,United States,USA,2024,Paris,Shooting,10m Air Pistol Women,No medal
247965,Morgan Abeln,F,United States,USA,2024,Paris,Shooting,25m Pistol Women,No medal
247966,Keith Sanderson,M,United States,USA,2024,Paris,Shooting,25m Rapid Fire Pistol Men,No medal
247967,Vincent Hancock,M,United States,USA,2024,Paris,Shooting,Skeet Men,Gold
247968,Vincent Hancock,M,United States,USA,2024,Paris,Shooting,Skeet Mixed Team,Silver
247969,William Hinton,M,United States,USA,2024,Paris,Shooting,Trap Men,No medal
247970,William Kissell,M,United States,USA,2024,Paris,Shooting,10m Air Rifle Men,No medal
247971,William Kissell,M,United States,USA,2024,Paris,Shooting,50m Rifle 3 Positions Men,No medal
