,Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
247972,William Kissell,M,United States,USA,2024,Paris,Shooting,10m Air Rifle Mixed Team,No medal
247973,Claudia Korkhin,F,United States,USA,2024,Paris,Shooting,25m Pistol Women,No medal
247974,Alexis Lagan,F,United States,USA,2024,Paris,Shooting,10m Air Pistol Women,No medal
247975,Turner Leverett,M,United States,USA,2024,Paris,Shooting,25m Rapid Fire Pistol Men,No medal
247976,Sagen Maddalena,F,United States,USA,2024,Paris,Shooting,10m Air Rifle Women,No medal
247977,Sagen Maddalena,F,United States,USA,2024,Paris,Shooting,50m Rifle 3 Positions Women,Silver
247978,Sagen Maddalena,F,United States,USA,2024,Paris,Shooting,10m Air Rifle Mixed Team,No medal
247979,Scott Mein,M,United States,USA,2024,Paris,Shooting,Trap Men,No medal
247980,Paige Phillips,F,United States,USA,2024,Paris,Shooting,Trap Women,No medal
247981,Lynn Prince,M,United States,USA,2024,Paris,Shooting,Skeet Men,Silver
247982,Lynn Prince,M,United States,USA,2024,Paris,Shooting,Skeet Mixed Team,No medal
247983,Ivan Roe,M,United States,USA,2024,Paris,Shooting,10m Air Rifle Men,No medal
247984,Ivan Roe,M,United States,USA,2024,Paris,Shooting,50m Rifle 3 Positions Men,No medal
247985,Ivan Roe,M,United States,USA,2024,Paris,Shooting,10m Air Rifle Mixed Team,No medal
247986,Jewell Smith,F,United States,USA,2024,Paris,Shooting,Skeet Women,Bronze
247987,Jewell Smith,F,United States,USA,2024,Paris,Shooting,Skeet Mixed Team,Silver
247988,Leighanne Tozier,F,United States,USA,2024,Paris,Shooting,Trap Women,No medal
247989,Carolynn Tucker,F,United States,USA,2024,Paris,Shooting,10m Air Rifle Women,No medal
247990,Carolynn Tucker,F,United States,USA,2024,Paris,Shooting,50m Rifle 3 Positions Women,No medal
247991,Carolynn Tucker,F,United States,USA,2024,Paris,Shooting,10m Air Rifle Mixed Team,No medal
247992,Jo Vizzi,F,United States,USA,2024,Paris,Shooting,Skeet Women,No medal
247993,Jo Vizzi,F,United States,USA,2024,Paris,Shooting,Skeet Mixed Team,No medal
247998,Nina Castagna,F,United States,USA,2024,Paris,Rowing,Women's Eight,No medal
247999,Ben Davison,M,United States,USA,2024,Paris,Rowing,Men's Double Sculls,No medal
248000,Molly Reckford,F,United States,USA,2024,Paris,Rowing,Lightweight Women's Double Sculls,No medal
248001,Maddie Wanamaker,F,United States,USA,2024,Paris,Rowing,Women's Eight,No medal
248002,Evan Olson,M,United States,USA,2024,Paris,Rowing,Men's Eight,Bronze
248003,Billy Bender,M,United States,USA,2024,Paris,Rowing,Men's Pair,No medal
248004,Justin Best,M,United States,USA,2024,Paris,Rowing,Men's Four,Gold
248005,Molly Bruggeman,F,United States,USA,2024,Paris,Rowing,Women's Eight,No medal
248006,Oliver Bub,M,United States,USA,2024,Paris,Rowing,Men's Pair,No medal
248007,Charlotte Buck,F,United States,USA,2024,Paris,Rowing,Women's Eight,No medal
248008,Chris Carlson,M,United States,USA,2024,Paris,Rowing,Men's Eight,Bronze
248009,Peter Chatain,M,United States,USA,2024,Paris,Rowing,Men's Eight,Bronze
248010,Olivia Coffey,F,United States,USA,2024,Paris,Rowing,Women's Eight,No medal
248011,Teal Cohen,F,United States,USA,2024,Paris,Rowing,Women's Quadruple Sculls,No medal
248012,Claire Collins,F,United States,USA,2024,Paris,Rowing,Women's Eight,No medal
248013,Liam Corrigan,M,United States,USA,2024,Paris,Rowing,Men's Four,Gold
248014,Azja Czajkowski,F,United States,USA,2024,Paris,Rowing,Women's Pair,No medal
248015,Clark Dean,M,United States,USA,2024,Paris,Rowing,Men's Eight,Bronze
248016,Emily Delleman,F,United States,USA,2024,Paris,Rowing,Women's Quadruple Sculls,No medal
248017,Michael Grady,M,United States,USA,2024,Paris,Rowing,Men's Four,Gold
248018,Margaret Hedeman,F,United States,USA,2024,Paris,Rowing,Women's Eight,No medal
248019,Henry Hollingsworth,M,United States,USA,2024,Paris,Rowing,Men's Eight,Bronze
248020,Grace Joyce,F,United States,USA,2024,Paris,Rowing,Women's Quadruple Sculls,No medal
248021,Emily Kallfelz,F,United States,USA,2024,Paris,Rowing,Women's Four,No medal
248022,Kate Knifton,F,United States,USA,2024,Paris,Rowing,Women's Four,No medal
248023,Kara Kohler,F,United States,USA,2024,Paris,Rowing,Women's Single Sculls,No medal
248024,Sorin Koszyk,M,United States,USA,2024,Paris,Rowing,Men's Double Sculls,No medal
248025,Daisy Mazzio-manson,F,United States,USA,2024,Paris,Rowing,Women's Four,No medal
248026,Nick Mead,M,United States,USA,2024,Paris,Rowing,Men's Four,Gold
248027,Rielly Milne,M,United States,USA,2024,Paris,Rowing,Men's Eight,Bronze
248028,Meghan Musnicki,F,United States,USA,2024,Paris,Rowing,Women's Eight,No medal
248029,Lauren O'connor,F,United States,USA,2024,Paris,Rowing,Women's Quadruple Sculls,No medal
248030,Jacob Plihal,M,United States,USA,2024,Paris,Rowing,Men's Single Sculls,No medal
248031,Pieter Quinton,M,United States,USA,2024,Paris,Rowing,Men's Eight,Bronze
248032,Kelsey Reelick,F,United States,USA,2024,Paris,Rowing,Women's Four,No medal
248033,Nick Rusher,M,United States,USA,2024,Paris,Rowing,Men's Eight,Bronze
248034,Regina Salmons,F,United States,USA,2024,Paris,Rowing,Women's Eight,No medal
248035,Michelle Sechser,F,United States,USA,2024,Paris,Rowing,Lightweight Women's Double Sculls,No medal
248036,Christian Tabash,M,United States,USA,2024,Paris,Rowing,Men's Eight,Bronze
248037,Jess Thoennes,F,United States,USA,2024,Paris,Rowing,Women's Pair,No medal
248038,Sophia Vitas,F,United States,USA,2024,Paris,Rowing,Women's Double Sculls,No medal
248039,Kristi Wagner,F,United States,USA,2024,Paris,Rowing,Women's Double Sculls,No medal
248884,Colin Duffy,M,United States,USA,2024,Paris,Sport Climbing,Men's Boulder & Lead,No medal
248885,Natalia Grossman,F,United States,USA,2024,Paris,Sport Climbing,Women's Boulder & Lead,No medal
248886,Jesse Grupper,M,United States,USA,2024,Paris,Sport Climbing,Men's Boulder & Lead,No medal
248887,Zach Hammer,M,United States,USA,2024,Paris,Sport Climbing,Men's Speed,No medal
248888,Emma Hunt,F,United States,USA,2024,Paris,Sport Climbing,Women's Speed,No medal
248889,Piper Kelly,F,United States,USA,2024,Paris,Sport Climbing,Women's Speed,No medal
248890,Brooke Raboutou,F,United States,USA,2024,Paris,Sport Climbing,Women's Boulder & Lead,Silver
248891,Sam Watson,M,United States,USA,2024,Paris,Sport Climbing,Men's Speed,Bronze
248892,Ian Barrows,M,United States,USA,2024,Paris,Sailing,Men's Skiff,Bronze
248893,Markus Edegran,M,United States,USA,2024,Paris,Sailing,Men's Kite,No medal
248894,Lara Dallman-weiss,F,United States,USA,2024,Paris,Sailing,Mixed Dinghy,No medal
248895,Hans Henken,M,United States,USA,2024,Paris,Sailing,Men's Skiff,Bronze
248896,David Liebenberg,M,United States,USA,2024,Paris,Sailing,Mixed Multihull,No medal
248897,Noah Lyons,M,United States,USA,2024,Paris,Sailing,Men's Windsurfing,No medal
248898,McNAY Stu,M,United States,USA,2024,Paris,Sailing,Mixed Dinghy,No medal
248899,Daniela Moroz,F,United States,USA,2024,Paris,Sailing,Women's Kite,No medal
248900,Sarah Newberry,F,United States,USA,2024,Paris,Sailing,Mixed Multihull,No medal
248901,Erika Reineke,F,United States,USA,2024,Paris,Sailing,Women's Dinghy,No medal
248902,Stephanie Roble,F,United States,USA,2024,Paris,Sailing,Women's Skiff,No medal
248903,Maggie Shea,F,United States,USA,2024,Paris,Sailing,Women's Skiff,No medal
248904,Dominique Stater,F,United States,USA,2024,Paris,Sailing,Women's Windsurfing,No medal
248906,Kayla Canett,F,United States,USA,2024,Paris,Rugby Sevens,Women,Bronze
248907,Lauren Doyle,F,United States,USA,2024,Paris,Rugby Sevens,Women,Bronze
248908,Alev Kelter,F,United States,USA,2024,Paris,Rugby Sevens,Women,Bronze
248909,Kristi Kirshe,F,United States,USA,2024,Paris,Rugby Sevens,Women,Bronze
248910,Sarah Levy,F,United States,USA,2024,Paris,Rugby Sevens,Women,Bronze
248911,Ilona Maher,F,United States,USA,2024,Paris,Rugby Sevens,Women,Bronze
248912,Alena Olsen,F,United States,USA,2024,Paris,Rugby Sevens,Women,Bronze
248913,Ariana Ramsey,F,United States,USA,2024,Paris,Rugby Sevens,Women,Bronze
248914,Steph Rovetti,F,United States,USA,2024,Paris,Rugby Sevens,Women,Bronze
248915,Alex Sedrick,F,United States,USA,2024,Paris,Rugby Sevens,Women,Bronze
248916,Sammy Sullivan,F,United States,USA,2024,Paris,Rugby Sevens,Women,Bronze
248917,Naya Tapper,F,United States,USA,2024,Paris,Rugby Sevens,Women,Bronze
248918,Perry Baker,M,United States,USA,2024,Paris,Rugby Sevens,Men,No medal
248919,Orrin Bizer,M,United States,USA,2024,Paris,Rugby Sevens,Men,No medal
248920,Adam Channel,M,United States,USA,2024,Paris,Rugby Sevens,Men,No medal
248921,Aaron Cummings,M,United States,USA,2024,Paris,Rugby Sevens,Men,No medal
248922,Malacchi Esdale,M,United States,USA,2024,Paris,Rugby Sevens,Men,No medal
248923,Naima Fuala'au,M,United States,USA,2024,Paris,Rugby Sevens,Men,No medal
248924,Madison Hughes,M,United States,USA,2024,Paris,Rugby Sevens,Men,No medal
248925,Lucas Lacamp,M,United States,USA,2024,Paris,Rugby Sevens,Men,No medal
248926,Steve Tomasin,M,United States,USA,2024,Paris,Rugby Sevens,Men,No medal
248927,Marcus Tupuola,M,United States,USA,2024,Paris,Rugby Sevens,Men,No medal
248928,Maka Unufe,M,United States,USA,2024,Paris,Rugby Sevens,Men,No medal
248929,Pita Vi,M,United States,USA,2024,Paris,Rugby Sevens,Men,No medal
248930,Kevon Williams,M,United States,USA,2024,Paris,Rugby Sevens,Men,No medal
248931,Tatiana Nazlymov,F,United States,USA,2024,Paris,Fencing,Women's Sabre Individual,No medal
248932,Tatiana Nazlymov,F,United States,USA,2024,Paris,Fencing,Women's Sabre Team,No medal
248933,Anne Cebula,F,United States,USA,2024,Paris,Fencing,Women's Ã‰pÃ©e Individual,No medal
248934,Anne Cebula,F,United States,USA,2024,Paris,Fencing,Women's Ã‰pÃ©e Team,No medal
248935,Maia Chamberlain,F,United States,USA,2024,Paris,Fencing,Women's Sabre Team,No medal
248936,Miles Chamley-watson,M,United States,USA,2024,Paris,Fencing,Men's Foil Team,No medal
248937,Eli Dershwitz,M,United States,USA,2024,Paris,Fencing,Men's Sabre Individual,No medal
248938,Eli Dershwitz,M,United States,USA,2024,Paris,Fencing,Men's Sabre Team,No medal
248939,Fili Dolegiewicz,M,United States,USA,2024,Paris,Fencing,Men's Sabre Team,No medal
248940,Jacqueline Dubrovich,F,United States,USA,2024,Paris,Fencing,Women's Foil Individual,No medal
248941,Jacqueline Dubrovich,F,United States,USA,2024,Paris,Fencing,Women's Foil Team,Gold
248942,Margherita Guzzi,F,United States,USA,2024,Paris,Fencing,Women's Ã‰pÃ©e Individual,No medal
248943,Margherita Guzzi,F,United States,USA,2024,Paris,Fencing,Women's Ã‰pÃ©e Team,No medal
248944,Colin Heathcock,M,United States,USA,2024,Paris,Fencing,Men's Sabre Individual,No medal
248945,Colin Heathcock,M,United States,USA,2024,Paris,Fencing,Men's Sabre Team,No medal
248946,Katharine Holmes,F,United States,USA,2024,Paris,Fencing,Women's Ã‰pÃ©e Team,No medal
248947,Hadley Husisian,F,United States,USA,2024,Paris,Fencing,Women's Ã‰pÃ©e Individual,No medal
248948,Hadley Husisian,F,United States,USA,2024,Paris,Fencing,Women's Ã‰pÃ©e Team,No medal
248949,Nick Itkin,M,United States,USA,2024,Paris,Fencing,Men's Foil Individual,Bronze
248950,Nick Itkin,M,United States,USA,2024,Paris,Fencing,Men's Foil Team,No medal
248951,Lee Kiefer,F,United States,USA,2024,Paris,Fencing,Women's Foil Individual,Gold
248952,Lee Kiefer,F,United States,USA,2024,Paris,Fencing,Women's Foil Team,Gold
248953,Alexander Massialas,M,United States,USA,2024,Paris,Fencing,Men's Foil Individual,No medal
248954,Alexander Massialas,M,United States,USA,2024,Paris,Fencing,Men's Foil Team,No medal
248955,Gerek Meinhardt,M,United States,USA,2024,Paris,Fencing,Men's Foil Individual,No medal
248956,Gerek Meinhardt,M,United States,USA,2024,Paris,Fencing,Men's Foil Team,No medal
248957,Mitchell Saron,M,United States,USA,2024,Paris,Fencing,Men's Sabre Individual,No medal
248958,Mitchell Saron,M,United States,USA,2024,Paris,Fencing,Men's Sabre Team,No medal
248959,Lauren Scruggs,F,United States,USA,2024,Paris,Fencing,Women's Foil Individual,Silver
248960,Lauren Scruggs,F,United States,USA,2024,Paris,Fencing,Women's Foil Team,Gold
248961,Magda Skarbonkiewicz,F,United States,USA,2024,Paris,Fencing,Women's Sabre Individual,No medal
248962,Magda Skarbonkiewicz,F,United States,USA,2024,Paris,Fencing,Women's Sabre Team,No medal
248963,Elizabeth Tartakovsky,F,United States,USA,2024,Paris,Fencing,Women's Sabre Individual,No medal
248964,Elizabeth Tartakovsky,F,United States,USA,2024,Paris,Fencing,Women's Sabre Team,No medal
248965,Mei Weintraub,F,United States,USA,2024,Paris,Fencing,Women's Foil Team,Gold
248995,Jessica Savner,F,United States,USA,2024,Paris,Modern Pentathlon,Women's Individual,No medal
248996,Angelica Delgado,F,United States,USA,2024,Paris,Judo,Women -52 kg,No medal
248997,John Jayne,M,United States,USA,2024,Paris,Judo,Men -90 kg,No medal
248998,Celia Laborde,F,United States,USA,2024,Paris,Judo,Women -48 kg,No medal
248999,Jack Yonezuka,M,United States,USA,2024,Paris,Judo,Men -73 kg,No medal
249011,Wyndham Clark,M,United States,USA,2024,Paris,Golf,Men's Individual Stroke Play,No medal
249012,Nelly Korda,F,United States,USA,2024,Paris,Golf,Women's Individual Stroke Play,No medal
249013,Collin Morikawa,M,United States,USA,2024,Paris,Golf,Men's Individual Stroke Play,No medal
249014,Xander Schauffele,M,United States,USA,2024,Paris,Golf,Men's Individual Stroke Play,No medal
249015,Scottie Scheffler,M,United States,USA,2024,Paris,Golf,Men's Individual Stroke Play,Gold
249016,Lilia Vu,F,United States,USA,2024,Paris,Golf,Women's Individual Stroke Play,No medal
249017,Rose Zhang,F,United States,USA,2024,Paris,Golf,Women's Individual Stroke Play,No medal
249018,Marcus Orlob,M,United States,USA,2024,Paris,Equestrian,Dressage Individual,No medal
249019,Marcus Orlob,M,United States,USA,2024,Paris,Equestrian,Dressage Team,No medal
249020,Karl Cook,M,United States,USA,2024,Paris,Equestrian,Jumping Team,Silver
249021,Sydney Elliott,F,United States,USA,2024,Paris,Equestrian,Eventing Individual,No medal
249022,Sydney Elliott,F,United States,USA,2024,Paris,Equestrian,Eventing Team,No medal
249023,Kent Farrington,M,United States,USA,2024,Paris,Equestrian,Jumping Individual,No medal
249024,Kent Farrington,M,United States,USA,2024,Paris,Equestrian,Jumping Team,Silver
249025,Elisabeth Halliday,F,United States,USA,2024,Paris,Equestrian,Eventing Individual,No medal
249026,Elisabeth Halliday,F,United States,USA,2024,Paris,Equestrian,Eventing Team,No medal
249027,Laura Kraut,F,United States,USA,2024,Paris,Equestrian,Jumping Individual,No medal
249028,Laura Kraut,F,United States,USA,2024,Paris,Equestrian,Jumping Team,Silver
249029,Adrienne Lyle,F,United States,USA,2024,Paris,Equestrian,Dressage Individual,No medal
249030,Adrienne Lyle,F,United States,USA,2024,Paris,Equestrian,Dressage Team,No medal
249031,Boyd Martin,M,United States,USA,2024,Paris,Equestrian,Eventing Individual,No medal
249032,Boyd Martin,M,United States,USA,2024,Paris,Equestrian,Eventing Team,No medal
249033,Caroline Pamukcu,F,United States,USA,2024,Paris,Equestrian,Eventing Individual,No medal
249034,Caroline Pamukcu,F,United States,USA,2024,Paris,Equestrian,Eventing Team,No medal
249035,Endel Ots,M,United States,USA,2024,Paris,Equestrian,Dressage Team,No medal
249036,Steffen Peters,M,United States,USA,2024,Paris,Equestrian,Dressage Individual,No medal
249037,Steffen Peters,M,United States,USA,2024,Paris,Equestrian,Dressage Team,No medal
249038,Mclain Ward,M,United States,USA,2024,Paris,Equestrian,Jumping Individual,No medal
249039,Mclain Ward,M,United States,USA,2024,Paris,Equestrian,Jumping Team,Silver
249298,Kelsey Bing,F,United States,USA,2024,Paris,Hockey,Women,No medal
249299,Leah Crouse,F,United States,USA,2024,Paris,Hockey,Women,No medal
249300,Brooke Deberdine,F,United States,USA,2024,Paris,Hockey,Women,No medal
249301,Emma Deberdine,F,United States,USA,2024,Paris,Hockey,Women,No medal
249302,Sophia Gladieux,F,United States,USA,2024,Paris,Hockey,Women,No medal
249303,Amanda Golini,F,United States,USA,2024,Paris,Hockey,Women,No medal
249304,Alexandra Hammel,F,United States,USA,2024,Paris,Hockey,Women,No medal
249305,Ashley Hoffman,F,United States,USA,2024,Paris,Hockey,Women,No medal
249306,Karlie Kisha,F,United States,USA,2024,Paris,Hockey,Women,No medal
249307,Kelee Lepage,F,United States,USA,2024,Paris,Hockey,Women,No medal
249308,Ashley Sessa,F,United States,USA,2024,Paris,Hockey,Women,No medal
249309,Meredith Sholder,F,United States,USA,2024,Paris,Hockey,Women,No medal
249310,Abigail Tamer,F,United States,USA,2024,Paris,Hockey,Women,No medal
249311,Elizabeth Yeager,F,United States,USA,2024,Paris,Hockey,Women,No medal
249312,Madeleine Zimmer,F,United States,USA,2024,Paris,Hockey,Women,No medal
249313,Sarah Bacon,F,United States,USA,2024,Paris,Diving,Women's 3m Springboard,No medal
249314,Sarah Bacon,F,United States,USA,2024,Paris,Diving,Women's Synchronised 3m Springboard,Silver
249315,Andrew Capobianco,M,United States,USA,2024,Paris,Diving,Men's 3m Springboard,No medal
249316,Kassidy Cook,F,United States,USA,2024,Paris,Diving,Women's Synchronised 3m Springboard,Silver
249317,Tyler Downs,M,United States,USA,2024,Paris,Diving,Men's Synchronised 3m Springboard,No medal
249318,Greg Duncan,M,United States,USA,2024,Paris,Diving,Men's Synchronised 3m Springboard,No medal
249319,Alison Gibson,F,United States,USA,2024,Paris,Diving,Women's 3m Springboard,No medal
249320,Brandon Loschiavo,M,United States,USA,2024,Paris,Diving,Men's 10m Platform,No medal
249321,Jessica Parratto,F,United States,USA,2024,Paris,Diving,Women's Synchronised 10m Platform,No medal
249322,Delaney Schnell,F,United States,USA,2024,Paris,Diving,Women's 10m Platform,No medal
249323,Delaney Schnell,F,United States,USA,2024,Paris,Diving,Women's Synchronised 10m Platform,No medal
249324,Carson Tyler,M,United States,USA,2024,Paris,Diving,Men's 10m Platform,No medal
249325,Carson Tyler,M,United States,USA,2024,Paris,Diving,Men's 3m Springboard,No medal
249326,Daryn Wright,F,United States,USA,2024,Paris,Diving,Women's 10m Platform,No medal
249429,Joel Embiid,M,United States,USA,2024,Paris,Basketball,Men,Gold
249430,Jayson Tatum,M,United States,USA,2024,Paris,Basketball,Men,Gold
249431,Devin Booker,M,United States,USA,2024,Paris,Basketball,Men,Gold
249432,Bam Adebayo,M,United States,USA,2024,Paris,Basketball,Men,Gold
249433,Stephen Curry,M,United States,USA,2024,Paris,Basketball,Men,Gold
249434,Anthony Davis,M,United States,USA,2024,Paris,Basketball,Men,Gold
249435,Kevin Durant,M,United States,USA,2024,Paris,Basketball,Men,Gold
249436,Anthony Edwards,M,United States,USA,2024,Paris,Basketball,Men,Gold
249437,Tyrese Haliburton,M,United States,USA,2024,Paris,Basketball,Men,Gold
249438,Jrue Holiday,M,United States,USA,2024,Paris,Basketball,Men,Gold
249439,Lebron James,M,United States,USA,2024,Paris,Basketball,Men,Gold
249440,Derrick White,M,United States,USA,2024,Paris,Basketball,Men,Gold
249441,Napheesa Collier,F,United States,USA,2024,Paris,Basketball,Women,Gold
249442,Kahleah Copper,F,United States,USA,2024,Paris,Basketball,Women,Gold
249443,Chelsea Gray,F,United States,USA,2024,Paris,Basketball,Women,Gold
249444,Brittney Griner,F,United States,USA,2024,Paris,Basketball,Women,Gold
249445,Dearica Hamby,F,United States,USA,2024,Paris,3x3 Basketball,Women,Bronze
249446,Rhyne Howard,F,United States,USA,2024,Paris,3x3 Basketball,Women,Bronze
249447,Sabrina Ionescu,F,United States,USA,2024,Paris,Basketball,Women,Gold
249448,Jewell Loyd,F,United States,USA,2024,Paris,Basketball,Women,Gold
249449,Kelsey Plum,F,United States,USA,2024,Paris,Basketball,Women,Gold
249450,Breanna Stewart,F,United States,USA,2024,Paris,Basketball,Women,Gold
249451,Diana Taurasi,F,United States,USA,2024,Paris,Basketball,Women,Gold
249452,Alyssa Thomas,F,United States,USA,2024,Paris,Basketball,Women,Gold
249453,A'ja Wilson,F,United States,USA,2024,Paris,Basketball,Women,Gold
249454,Jackie Young,F,United States,USA,2024,Paris,Basketball,Women,Gold
249455,Canyon Barry,M,United States,USA,2024,Paris,3x3 Basketball,Men,No medal
249456,Cierra Burdick,F,United States,USA,2024,Paris,3x3 Basketball,Women,Bronze
249457,Jimmer Fredette,M,United States,USA,2024,Paris,3x3 Basketball,Men,No medal
249458,Kareem Maddox,M,United States,USA,2024,Paris,3x3 Basketball,Men,No medal
249459,Dylan Travis,M,United States,USA,2024,Paris,3x3 Basketball,Men,No medal
249460,van Hailey,F,United States,USA,2024,Paris,3x3 Basketball,Women,Bronze
249565,Riley Amos,M,United States,USA,2024,Paris,Cycling Mountain Bike,Men's Cross-country,No medal
249566,Savilia Blunk,F,United States,USA,2024,Paris,Cycling Mountain Bike,Women's Cross-country,No medal
249567,Haley Batten,F,United States,USA,2024,Paris,Cycling Mountain Bike,Women's Cross-country,Silver
249568,Perris Benegas,F,United States,USA,2024,Paris,Cycling BMX Freestyle,Women's Park,Silver
249569,Christopher Blevins,M,United States,USA,2024,Paris,Cycling Mountain Bike,Men's Cross-country,No medal
249570,Marcus Christopher,M,United States,USA,2024,Paris,Cycling BMX Freestyle,Men's Park,No medal
249571,Olivia Cummins,F,United States,USA,2024,Paris,Cycling Track,Women's Team Pursuit,Gold
249572,Justin Dowell,M,United States,USA,2024,Paris,Cycling BMX Freestyle,Men's Park,No medal
249573,Chloe Dygert,F,United States,USA,2024,Paris,"Cycling Road, Cycling Track",Women's Road Race,No medal
249574,Chloe Dygert,F,United States,USA,2024,Paris,"Cycling Road, Cycling Track",Women's Individual Time Trial,No medal
249575,Chloe Dygert,F,United States,USA,2024,Paris,"Cycling Road, Cycling Track",Women's Team Pursuit,No medal
249576,Emily Ehrlich,F,United States,USA,2024,Paris,Cycling Track,Women's Team Pursuit,Gold
249577,Kristen Faulkner,F,United States,USA,2024,Paris,"Cycling Road, Cycling Track",Women's Road Race,No medal
249578,Kristen Faulkner,F,United States,USA,2024,Paris,"Cycling Road, Cycling Track",Women's Team Pursuit,No medal
249579,Matteo Jorgenson,M,United States,USA,2024,Paris,Cycling Road,Men's Road Race,No medal
249580,Grant Koontz,M,United States,USA,2024,Paris,Cycling Track,Men's Omnium,No medal
249581,Kamren Larsen,M,United States,USA,2024,Paris,Cycling BMX Racing,Men,No medal
249582,McNULTY Brandon,M,United States,USA,2024,Paris,Cycling Road,Men's Road Race,No medal
249583,McNULTY Brandon,M,United States,USA,2024,Paris,Cycling Road,Men's Individual Time Trial,No medal
249584,Payton Ridenour,F,United States,USA,2024,Paris,Cycling BMX Racing,Women,No medal
249585,Hannah Roberts,F,United States,USA,2024,Paris,Cycling BMX Freestyle,Women's Park,No medal
249586,Magnus Sheffield,M,United States,USA,2024,Paris,Cycling Road,Men's Road Race,No medal
249587,Magnus Sheffield,M,United States,USA,2024,Paris,Cycling Road,Men's Individual Time Trial,No medal
249588,Jeremy Smith,M,United States,USA,2024,Paris,Cycling BMX Racing,Men,No medal
249589,Felicia Stancil,F,United States,USA,2024,Paris,Cycling BMX Racing,Women,No medal
249590,Jennifer Valente,F,United States,USA,2024,Paris,Cycling Track,Women's Madison,No medal
249591,Jennifer Valente,F,United States,USA,2024,Paris,Cycling Track,Women's Omnium,Gold
249592,Jennifer Valente,F,United States,USA,2024,Paris,Cycling Track,Women's Team Pursuit,Gold
249593,Daleny Vaughn,F,United States,USA,2024,Paris,Cycling BMX Racing,Women,No medal
249594,Lily Williams,F,United States,USA,2024,Paris,Cycling Track,Women's Madison,No medal
249595,Lily Williams,F,United States,USA,2024,Paris,Cycling Track,Women's Omnium,No medal
249596,Lily Williams,F,United States,USA,2024,Paris,Cycling Track,Women's Team Pursuit,Gold
249597,Alise Willoughby,F,United States,USA,2024,Paris,Cycling BMX Racing,Women,No medal
249598,Cameron Wood,M,United States,USA,2024,Paris,Cycling BMX Racing,Men,No medal
249599,Casey Eichfeld,M,United States,USA,2024,Paris,Canoe Slalom,Men's Canoe Single,No medal
249600,Casey Eichfeld,M,United States,USA,2024,Paris,Canoe Slalom,Men's Kayak Cross,No medal
249601,Jonas Ecker,M,United States,USA,2024,Paris,Canoe Sprint,Men's Kayak Single 1000m,No medal
249602,Jonas Ecker,M,United States,USA,2024,Paris,Canoe Sprint,Men's Kayak Double 500m,No medal
249603,Nevin Harrison,F,United States,USA,2024,Paris,Canoe Sprint,Women's Canoe Single 200m,Silver
249604,Evy Leibfarth,F,United States,USA,2024,Paris,Canoe Slalom,Women's Canoe Single,Bronze
249605,Evy Leibfarth,F,United States,USA,2024,Paris,Canoe Slalom,Women's Kayak Single,No medal
249606,Evy Leibfarth,F,United States,USA,2024,Paris,Canoe Slalom,Women's Kayak Cross,No medal
249607,Aaron Small,M,United States,USA,2024,Paris,Canoe Sprint,Men's Kayak Single 1000m,No medal
249608,Aaron Small,M,United States,USA,2024,Paris,Canoe Sprint,Men's Kayak Double 500m,No medal
249611,Marquel Brooks,M,United States,USA,2024,Paris,Wrestling,Men's Freestyle 86kg,Bronze
249612,Jacob Coon,M,United States,USA,2024,Paris,Wrestling,Men's Greco-Roman 130kg,No medal
249613,Amit Elor,F,United States,USA,2024,Paris,Wrestling,Women's Freestyle 68kg,Gold
249614,Ameer Bey,M,United States,USA,2024,Paris,Wrestling,Men's Greco-Roman 77kg,No medal
