Country,Medal_2028,Medal_2024,Diff,Probability
USA,127.63967,122,5.639669999999995,0.6357795028716058
MDA,5.0776,4,1.0776000000000003,0.4838573912000197
UKR,13.089783,12,1.0897830000000006,0.4665605827400163
IND,7.015322,6,1.0153220000000003,0.45790476427011584
GEQ,1.7036649,0,1.7036649,0.4186865466099481
INA,4.598893,3,1.5988930000000003,0.4172202276902376
ASA,1.715391,0,1.715391,0.39872567257805114
THA,7.3763433,6,1.3763433000000003,0.3929979195437911
IRL,6.6043363,5,1.6043363,0.39294164918632424
UZB,11.613587,13,-1.3864129999999992,0.39165682819513503
BUL,5.2222667,7,-1.7777333000000004,0.3898951524285442
CPV,3.6334007,1,2.6334007,0.3816894315329591
EOR,3.7190514,1,2.7190514,0.3769933405050683
SOL,2.944358,0,2.944358,0.3702241686177754
KAZ,10.116585,7,3.1165850000000006,0.3697755178571381
ALG,5.357763,3,2.3577630000000003,0.3659519502553591
TUN,5.980419,3,2.9804190000000004,0.365892751567355
CAM,2.6592388,0,2.6592388,0.3653377235600981
KIR,3.3989208,0,3.3989208,0.36475611517854145
SRI,2.9727688,0,2.9727688,0.36468685375703014
IOA,3.6930575,0,3.6930575,0.36303239667826104
ROT,3.8518448,0,3.8518448,0.36231590268821223
ARU,2.9484098,0,2.9484098,0.3623120713412281
NOR,6.923304,8,-1.076696,0.36165626709796095
KOR,28.388624,32,-3.611376,0.3597140630937532
ETH,8.367243,4,4.367243,0.3566029413467431
YUG,3.9016926,0,3.9016926,0.3548843073809209
CHA,4.7060285,0,4.7060285,0.350989848667808
WIF,2.6816247,0,2.6816247,0.35006965512380206
ARM,7.9260955,4,3.9260954999999997,0.348295476723609
SWZ,3.7915125,0,3.7915125,0.3470850258749728
TUV,4.3374968,0,4.3374968,0.34622591641338185
GRE,10.147825,8,2.147824999999999,0.34415306889028435
DMA,3.1568866,1,2.1568866,0.34373563743704905
AUS,45.785156,51,-5.214843999999999,0.3430683518448976
SMR,5.1357665,0,5.1357665,0.3428264572532791
SUR,5.3567944,0,5.3567944,0.342218306031009
MLT,5.2506375,0,5.2506375,0.3420655026157789
NFL,4.693881,0,4.693881,0.3416337769596524
BEL,4.614917,9,-4.385083,0.3415113290233873
PER,5.869304,1,4.869304,0.34078880163320124
SLO,6.883739,3,3.8837390000000003,0.3399137682347092
BIH,5.398541,0,5.398541,0.3398112986402295
GBS,6.1576314,0,6.1576314,0.3383760261565377
SUD,4.820504,0,4.820504,0.3382738770955127
CYP,6.2049513,1,5.2049513,0.33768336882371863
AIN,7.8211107,5,2.8211107,0.3371809085682741
MRI,5.9819407,0,5.9819407,0.33642509225796313
PNG,2.904624,0,2.904624,0.33456430595623676
NAM,5.420846,0,5.420846,0.3342247592316512
MON,4.8302674,0,4.8302674,0.3341641908035023
AFG,5.625317,0,5.625317,0.3338714474201516
AND,6.713667,0,6.713667,0.3323605004138276
VIE,3.853773,0,3.853773,0.33219381180541446
SAM,5.285513,0,5.285513,0.3316614218815177
LCA,3.0147724,2,1.0147724,0.33053397199625806
FIN,5.5549846,0,5.5549846,0.3303365832820574
ISV,5.7201843,0,5.7201843,0.32880973354903725
NIG,6.0910053,0,6.0910053,0.3256016070022718
MKD,7.640966,0,7.640966,0.32518054623384407
BAR,5.1983695,0,5.1983695,0.3251342632741471
SWE,15.559747,11,4.559747,0.32452564965275077
NED,32.88036,34,-1.1196399999999969,0.3208613125226281
EUN,4.5973973,0,4.5973973,0.3195309762752294
GDR,6.8850513,0,6.8850513,0.3178204978305632
ZAM,12.730554,1,11.730554,0.3160921603315963
GBR,71.170494,62,9.170494000000005,0.3159328091886744
JPN,43.082916,45,-1.9170840000000027,0.3147405201641344
DEN,14.31293,9,5.31293,0.31465358855167747
SEY,5.3845525,0,5.3845525,0.3144247711772396
MAW,4.5812945,0,4.5812945,0.31433877971937185
ALB,5.0335364,2,3.0335364,0.31333147373845055
GUY,3.343858,0,3.343858,0.3131366153172472
TPE,11.181104,7,4.1811039999999995,0.3120642128657145
GAM,2.8251696,0,2.8251696,0.3117491723343855
ANZ,5.5108294,0,5.5108294,0.3111914397972344
TUR,19.267885,8,11.267885,0.3091003960622438
POL,17.43052,10,7.430520000000001,0.3085574318936263
PRK,9.282559,6,3.282558999999999,0.3076542628138642
PAK,4.2906084,1,3.2906084,0.30716575713511785
TTO,4.800479,0,4.800479,0.30704744321890637
VNM,5.168279,0,5.168279,0.3068472170456553
FRG,4.517924,0,4.517924,0.3066454828781709
PAR,4.7280297,0,4.7280297,0.30416593452331486
CZE,16.673897,5,11.673897,0.3035588785743977
ECU,8.668455,5,3.668455,0.30347429167104967
AHO,4.444825,0,4.444825,0.3026938465382906
RSA,12.006776,6,6.006776,0.29972689496654753
NRU,10.473469,0,10.473469,0.2982038294833761
KSA,4.5303307,0,4.5303307,0.29562346867122563
BER,5.4546075,0,5.4546075,0.2947856998474371
MTN,5.5300713,0,5.5300713,0.2947450605240561
URU,4.210235,0,4.210235,0.29468803867280835
KOS,8.125468,2,6.125468,0.29453551445222403
COK,3.7219212,0,3.7219212,0.2945315892159153
COD,2.9463968,0,2.9463968,0.2931447633261327
CIV,8.673519,1,7.673519000000001,0.28786936306874517
MEX,9.547044,5,4.547044,0.2873287087502205
VAN,2.1453943,0,2.1453943,0.2854265673991579
BRN,5.619191,4,1.6191909999999998,0.2848331715230902
AUT,13.6234255,5,8.6234255,0.2845276280898329
URS,5.249721,0,5.249721,0.28356785032983994
TKM,5.8327527,0,5.8327527,0.28299064603914853
SSD,4.3727856,0,4.3727856,0.28200420267151893
LAO,4.934794,0,4.934794,0.28181183988906333
BAN,7.308185,0,7.308185,0.2815626392526003
CHN,95.75952,91,4.759519999999995,0.277127102708538
BRU,6.3127565,0,6.3127565,0.2768978066769296
ROC,20.931313,0,20.931313,0.2766075860939041
PUR,11.365012,2,9.365012,0.2758836266968975
TLS,4.2053256,0,4.2053256,0.27461285449737155
SGP,4.8860307,1,3.8860307,0.2743495680685373
STP,2.4005108,0,2.4005108,0.272527773532345
IVB,3.7274592,0,3.7274592,0.27229267952007835
UNK,5.051492,0,5.051492,0.2719313494912033
BIZ,3.3939445,0,3.3939445,0.2710932484880668
QAT,5.4064336,1,4.4064336,0.27030937297752194
NGR,7.628061,0,7.628061,0.2700484251893507
BAH,8.190085,0,8.190085,0.2656805560886478
SKN,4.018856,0,4.018856,0.2653045310416096
ITA,28.116053,36,-7.883946999999999,0.265183516799834
CHI,10.259284,2,8.259284,0.2646708813912536
LIE,5.66208,0,5.66208,0.26446428831927343
CRC,4.05203,0,4.05203,0.26429133158391743
DJI,4.5082026,0,4.5082026,0.26088112472489444
NCA,4.0207076,0,4.0207076,0.25939590810846624
LUX,7.477203,0,7.477203,0.2588341867522738
BEN,4.934901,0,4.934901,0.25874086925369005
MAD,5.822112,0,5.822112,0.25861798679688514
ISL,5.5395117,0,5.5395117,0.25835860837666014
PLE,4.839128,0,4.839128,0.25808042207947657
KUW,6.40427,0,6.40427,0.25646461873472803
GER,54.451714,31,23.451714000000003,0.2561792347307043
HAI,5.1761904,0,5.1761904,0.2547146646488018
GRN,11.719516,2,9.719516,0.2543606166326841
FSM,1.6041808,0,1.6041808,0.2536463262765046
MNE,7.0127463,0,7.0127463,0.25245212327715716
VIN,4.7700763,0,4.7700763,0.2518729252825202
BRA,17.776571,20,-2.2234289999999994,0.25106749121185784
SRB,19.279636,5,14.279636,0.2504227883901337
JOR,5.35215,1,4.35215,0.24939364404752862
EGY,7.908159,3,4.908159,0.24909761660379603
HON,3.8574839,0,3.8574839,0.24594328390368625
UAE,6.044543,0,6.044543,0.24403044002574326
GEO,12.380537,7,5.380537,0.24315755033937453
ESP,25.589056,18,7.589055999999999,0.24233840371432763
GUA,6.6855907,2,4.6855907,0.24198095733198233
TAN,3.5972536,0,3.5972536,0.24191691003317428
NBO,2.9063013,0,2.9063013,0.24182622878637938
MHL,4.700309,0,4.700309,0.2417965967485452
HKG,7.529336,4,3.529336,0.24145207206780145
BOL,2.9077957,0,2.9077957,0.23956828313136314
LBA,2.4824882,0,2.4824882,0.23950241427443408
DOM,11.177666,3,8.177666,0.23719793323681893
YEM,4.5748744,0,4.5748744,0.2371565107929074
MGL,7.40775,1,6.40775,0.23628751774404333
MDV,8.043265,0,8.043265,0.23563750112184406
CUB,12.926729,9,3.926729,0.23557099642140167
BLR,8.006367,0,8.006367,0.23403024641804004
MLI,4.782164,0,4.782164,0.23392124033898992
VEN,11.066646,0,11.066646,0.2337359590402267
LBR,3.4553409,0,3.4553409,0.23314148604172186
KEN,8.585329,11,-2.4146710000000002,0.22910950768108018
EST,8.395008,0,8.395008,0.22801875695917895
TCH,3.0536351,0,3.0536351,0.22740369501829416
SVK,9.6983385,1,8.6983385,0.22594021697663014
TOG,4.198352,0,4.198352,0.22424361432981088
OMA,4.3388925,0,4.3388925,0.22253163924061414
GAB,4.9242663,0,4.9242663,0.21597782629859874
CAF,4.155505,0,4.155505,0.21353269302549382
FIJ,6.778139,1,5.778139,0.21269097762083577
NEP,6.138166,0,6.138166,0.21243897732019879
MAR,4.6554146,2,2.6554146000000003,0.21224988385588467
UAR,3.5828395,0,3.5828395,0.21168843466253107
GUI,5.0616345,0,5.0616345,0.2116488845894564
JAM,11.042134,6,5.042134000000001,0.2097836047086336
ANG,3.3299713,0,3.3299713,0.2086321913991377
IRQ,3.1905518,0,3.1905518,0.20802560842555828
ANT,5.751155,0,5.751155,0.20745019722254188
RWA,3.4819603,0,3.4819603,0.20729021311366014
BDI,4.385676,0,4.385676,0.20688573567142382
CAN,14.7242985,27,-12.2757015,0.20330943756644504
BUR,3.733753,0,3.733753,0.20190649915730946
BHU,6.0922723,0,6.0922723,0.20085687426809568
LES,2.942419,0,2.942419,0.19792836402816205
CMR,2.879549,0,2.879549,0.1974377819746299
LAT,5.4182634,0,5.4182634,0.19683782186862475
CGO,6.382939,0,6.382939,0.196607231655256
SOM,5.2170315,0,5.2170315,0.19576424197101494
SLE,6.3153462,0,6.3153462,0.19402567515184788
MOZ,10.325322,0,10.325322,0.19157522294786022
GUM,4.149608,0,4.149608,0.19130878565530451
AZE,11.496133,7,4.496133,0.18956981606483297
CAY,5.507596,0,5.507596,0.1883481852768899
PLW,3.2272842,0,3.2272842,0.18674537015157167
MAL,6.1307964,0,6.1307964,0.18635664035423327
SEN,6.1505675,0,6.1505675,0.18242486618412557
COM,4.310092,0,4.310092,0.18156501286344917
YMD,7.804116,0,7.804116,0.18098927741621829
TGA,5.6253624,0,5.6253624,0.17824199012797037
YAR,4.9805484,0,4.9805484,0.17822118344185645
PAN,5.9099846,1,4.9099846,0.1776403431459116
GHA,6.098434,0,6.098434,0.17618712872417863
FRA,51.182823,64,-12.817177000000001,0.17532900284541653
SCG,8.987766,0,8.987766,0.17426428846483233
UGA,7.1586466,2,5.1586466,0.17408138311883403
TJK,8.84333,3,5.84333,0.17259121831253488
RHO,6.5052676,0,6.5052676,0.1718572691764298
SYR,5.846384,0,5.846384,0.17119790669130208
MYA,4.8552413,0,4.8552413,0.16918376048907013
ERI,4.2911205,0,4.2911205,0.16782463438725165
CRO,16.148727,7,9.148727000000001,0.15682879541549144
MAS,11.243677,2,9.243677,0.15608888799344955
ZIM,4.9537206,0,4.9537206,0.1550704600143108
SAA,5.9254203,0,5.9254203,0.15399504892426863
LIB,5.363983,0,5.363983,0.15311842003452553
ARG,8.686244,3,5.686244,0.15304085849787907
RUS,32.935474,0,32.935474,0.14995970640078315
ESA,6.6100974,0,6.6100974,0.14980824294612677
LBN,6.8637695,0,6.8637695,0.14582984183370812
BOH,6.9327874,0,6.9327874,0.14283779803023655
BOT,8.9878435,2,6.9878435,0.1426604093695969
